RegionID,State,City,PostalCode,Users,Orders,RevenueINR,Latitude,Longitude,RevenuePerUserINR,OrdersPer100Users,DemandIndex,UnderservedScore
IN001,Maharashtra,Nagpur,440001,650,120,1850000,21.0,79.0882,2846.153846153846,18.461538461538463,890,481.0810810810811
IN002,Maharashtra,Pune,411001,1200,260,4200000,18.5204,73.8567,3500.0,21.666666666666668,1720,409.5238095238096
IN003,Maharashtra,Nashik,422001,700,150,2400000,20.011,73.7903,3428.5714285714284,21.428571428571427,1000,416.6666666666667
IN004,Gujarat,Ahmedabad,380001,1100,240,3950000,23.0225,72.5714,3590.909090909091,21.818181818181817,1580,400.0
IN005,Gujarat,Surat,395003,900,190,3150000,21.1702,72.8311,3500.0,21.11111111111111,1280,406.3492063492063
K001,Karnataka,Bengaluru,560001,1500,340,6200000,12.9716,77.5946,4133.333333333333,22.666666666666664,2180,351.61290322580646
K002,Karnataka,Mysuru,570001,500,100,1650000,12.2958,76.6394,3300.0,20.0,700,424.24242424242425
DL001,Delhi,New Delhi,110001,1000,220,3600000,28.6139,77.209,3600.0,22.0,1440,400.0
WB001,West Bengal,Kolkata,700001,850,170,2800000,22.5726,88.3639,3294.1176470588234,20.0,1190,425.0
TN001,Tamil Nadu,Chennai,600001,1250,280,4800000,13.0827,80.2707,3840.0,22.400000000000002,1810,377.0833333333333
RJ001,Rajasthan,Jaipur,302001,550,115,1750000,26.9124,75.7873,3181.818181818182,20.909090909090907,780,445.7142857142857
MP001,Madhya Pradesh,Indore,452001,600,125,1950000,22.7196,75.8577,3250.0,20.833333333333336,850,435.8974358974359
TS001,Telangana,Hyderabad,500001,1050,230,3900000,17.385,78.4867,3714.285714285714,21.904761904761905,1510,387.1794871794872
UP001,Uttar Pradesh,Lucknow,226001,750,155,2350000,26.8467,80.9462,3133.3333333333335,20.666666666666668,1060,451.063829787234
BR001,Bihar,Patna,800001,420,95,1250000,25.5941,85.1376,2976.190476190476,22.61904761904762,610,488.0
