Date,Region,Category,Revenue,Users,ChurnedUsers,Tickets
2026-01-05,North,Electronics,85000,120,12,12
2026-01-10,West,Furniture,62000,95,8,10
2026-01-15,South,Electronics,91000,145,10,13
2026-02-03,East,Clothing,48000,70,7,8
2026-02-12,West,Electronics,105000,160,11,15
2026-02-20,North,Furniture,58000,90,9,9
2026-03-05,South,Clothing,52000,82,6,7
2026-03-15,East,Electronics,76000,115,8,11
2026-03-22,West,Furniture,69000,105,12,12
2026-04-04,North,Electronics,112000,175,14,17
2026-04-12,South,Clothing,47000,75,7,8
2026-04-25,East,Furniture,73000,110,9,10
2026-05-03,West,Electronics,98000,150,10,13
2026-05-15,North,Clothing,55000,88,8,9
2026-05-27,South,Furniture,81000,125,11,12
2026-06-05,East,Electronics,125000,190,13,18
2026-06-14,West,Clothing,59000,92,6,8
2026-06-25,North,Electronics,118000,180,12,16
