Feature,Coefficient,AbsCoefficient
cat__ContractType_Month-to-Month,1.0738303043688193,1.0738303043688193
cat__ContractType_One Year,-0.7374176559041986,0.7374176559041986
num__SupportTickets,0.4718401406101061,0.4718401406101061
num__TenureMonths,-0.43399219080013923,0.43399219080013923
cat__PaymentMethod_Debit Card,0.40714327765088243,0.40714327765088243
num__TotalCharges,-0.3520736581480295,0.3520736581480295
cat__SubscriptionType_Basic,0.33748361276543754,0.33748361276543754
num__MonthlyCharges,-0.33324687593424773,0.33324687593424773
cat__SubscriptionType_Enterprise,-0.33292558664400257,0.33292558664400257
cat__ContractType_Two Year,-0.33292558664400257,0.33292558664400257
num__Age,-0.3029263805881748,0.3029263805881748
cat__PaymentMethod_Credit Card,-0.2315156624862937,0.2315156624862937
cat__PaymentMethod_Bank Transfer,-0.1604613960657699,0.1604613960657699
cat__Gender_Female,0.15914148167439535,0.15914148167439535
cat__Gender_Male,-0.15565441985377715,0.15565441985377715
cat__PaymentMethod_UPI,-0.01167915727820063,0.01167915727820063
cat__SubscriptionType_Pro,-0.0010709643008167686,0.0010709643008167686
