State,Users,Orders,RevenueINR,Cities,RevenuePerUserINR,DemandIndex,UnderservedScore
Maharashtra,2550,530,8450000,3,3313.725490196078,3610,427.21893491124257
Karnataka,2000,440,7850000,2,3925.0,2880,366.8789808917197
Gujarat,2000,430,7100000,2,3550.0,2860,402.8169014084507
Tamil Nadu,1250,280,4800000,1,3840.0,1810,377.0833333333333
Telangana,1050,230,3900000,1,3714.285714285714,1510,387.1794871794872
Delhi,1000,220,3600000,1,3600.0,1440,400.0
West Bengal,850,170,2800000,1,3294.1176470588234,1190,425.0
Uttar Pradesh,750,155,2350000,1,3133.3333333333335,1060,451.063829787234
Madhya Pradesh,600,125,1950000,1,3250.0,850,435.8974358974359
Rajasthan,550,115,1750000,1,3181.818181818182,780,445.7142857142857
Bihar,420,95,1250000,1,2976.190476190476,610,488.0
